,Date,AXP,AAPL,BA,CAT,XOM,GS,HD,RTX,IBM,INTC,DD,JNJ,KO,JPM,MMM,MRK,MSFT,PG,TRV,UNH,VZ,WMT,DIS,CVX,MCD,CSCO,GE,PFE,NKE,V
1,11/1/17,93.251099,40.860806,262.377899,130.330582,70.027824,234.249878,167.302444,70.644981,128.073441,41.394012,91.481392,127.658134,41.447578,95.613213,219.801773,50.567089,80.274361,82.510643,126.133926,201.583954,44.657658,90.938293,101.124474,103.226555,159.78067,34.035469,16.728483,30.490976,58.484463,110.256447
2,2/1/18,93.388573,42.503876,345.183502,143.440048,64.269341,249.49472,170.44101,78.844933,135.174133,45.771675,90.398689,119.7285,39.459267,106.207954,213.97821,50.028393,89.879158,72.54277,130.022675,216.663483,42.37059,85.07267,100.323616,98.002083,147.432999,41.165592,13.086414,30.812021,65.098206,120.605255
3,5/1/18,94.498619,44.773647,337.262634,141.626358,69.641289,214.93956,175.438095,70,123.785683,51.607586,83.340324,110.976532,39.604969,98.899979,180.254669,55.408215,95.183823,68.225586,120.846062,232.134964,42.840816,78.477531,96.735069,109.926041,150.500824,39.578297,13.166656,30.772022,69.941658,128.46077
4,8/1/18,102.247398,54.749969,329.926666,130.244186,69.420662,227.091965,189.868118,77.931374,129.738922,45.539497,92.322578,125.884377,41.416607,106.471733,194.084763,64.334297,108.643684,78.046661,124.486549,258.951599,49.428562,91.716125,109.815689,105.674904,153.558151,44.612301,12.208004,35.90667,80.29615,144.583267
5,11/1/18,108.706787,43.10302,335.396851,128.072342,69.550537,182.698685,171.40271,72.481979,111.256447,46.648952,77.020126,138.211044,47.232502,104.045166,192.606628,74.925056,107.663681,89.709091,124.043488,272.310333,55.427071,93.97139,113.217415,107.120354,179.547272,45.007935,7.143174,40.320316,73.56089,139.694275
6,2/1/19,104.747513,41.938221,427.507721,130.482864,69.84024,189.219986,177.037048,75.189201,125.240044,50.417278,71.87529,129.376602,42.826504,98.44709,193.427628,77.304688,109.240402,94.283714,127.241493,235.178406,52.866264,95.780754,111.477608,108.749283,176.179153,49.051647,10.305668,38.432991,84.199837,146.275238
7,5/1/19,111.918716,42.585117,333.608948,114.518089,63.235058,176.259308,182.892731,76.015198,116.481133,42.191303,62.495029,125.002029,46.81152,100.721298,150.025101,75.837822,121.115356,99.150009,140.182465,235.666687,50.999382,98.679451,130.445786,104.579056,191.21756,49.610115,9.373297,36.810558,75.958084,159.598801
8,8/1/19,117.808266,50.970757,357.605164,114.61908,61.890255,197.835632,221.098007,78.818932,125.791084,45.697998,66.11216,123.179932,52.852009,105.167793,153.174622,83.341667,135.501053,116.587357,142.304153,229.074493,55.148952,111.74102,136.442535,109.197838,211.447891,44.914574,8.199591,31.797253,83.436905,179.154785
9,11/1/19,118.013214,65.505836,361.902222,140.497559,62.339535,216.103928,215.22551,89.3,126.259041,56.331562,63.075645,132.930176,51.652111,127.142815,162.27063,84.584404,149.285172,119.117989,133.102676,275.270996,57.71563,117.037827,150.677261,109.767456,189.658325,43.804592,11.213248,34.776066,92.552277,183.07457
10,2/1/20,108.376282,67.204628,273.482849,121.452766,47.635681,197.116852,213.97937,91.89,123.664551,54.172977,41.945358,130.920807,52.125637,112.760529,143.882492,74.789925,160.311722,111.157333,117.349075,251.734406,52.430435,106.299118,117.650002,88.334763,190.569534,38.887131,10.835026,30.774542,88.714386,180.648041
11,5/1/20,94.246941,78.349983,145.850006,118.513115,42.711712,194.094269,245.709335,63.023079,119.915405,61.705582,49.917992,145.736557,45.888279,95.484879,152.189835,79.505173,181.824356,114.557007,105.475426,302.296997,56.144997,123.010948,117.300003,87.797012,184.00943,47.012615,6.54934,35.166958,98.117348,194.326614
12,8/1/20,101.167442,128.585907,171.820007,141.446045,38.244602,203.637085,283.544739,60.112541,119.976593,50.240879,55.502205,151.344055,49.132286,99.268852,160.164032,84.654297,224.398651,137.566162,115.172813,311.267365,58.645584,138.281509,131.869995,81.537437,212.278091,41.834137,6.329538,35.488914,111.642677,211.351547
13,11/1/20,120.589996,116.389198,216.5,175.080002,39.243198,235.399994,275.98999,73.376862,122.572632,47.107365,64.241615,143.006287,52.700001,121.220001,175.37291,79.860001,214.667984,138.610001,134.440002,337.940002,60.580002,151.600006,147.130005,89.985916,218.330002,42.700001,10.4,36.851017,134.25,210.682556